time (seconds),temperature (Celsius)
0.001,25.5000
0.002,25.5000
0.003,25.5000
0.007,25.5000
0.009,25.5000
0.011,25.5000
0.012,25.5000
0.012,25.5000
0.013,25.5000
0.039,25.5000
0.040,25.5000
0.040,25.5000
0.041,25.5000
0.043,25.5000
0.048,25.5000
0.052,25.5000
0.067,25.5000
0.071,25.5000
0.101,25.5000
0.112,27.3125
0.117,27.3125
0.121,27.3125
0.130,27.3125
0.132,27.3125
0.133,27.3125
0.141,27.3125
0.154,27.3125
0.159,27.3125
0.166,27.3125
0.172,27.3125
0.191,27.3125
0.205,27.3125
0.205,27.3125
0.206,27.3125
0.216,27.3125
0.217,27.3125
0.221,27.3125
0.224,27.0000
0.239,27.0000
0.246,27.0000
0.247,27.0000
0.249,27.0000
0.260,27.0000
0.266,27.0000
0.267,27.0000
0.270,27.0000
0.303,27.0000
0.359,26.4375
0.363,26.4375
0.372,26.4375
0.379,26.4375
0.384,26.4375
0.386,26.4375
0.390,26.4375
0.395,26.4375
0.415,26.4375
0.416,26.4375
0.423,26.4375
0.425,26.4375
0.449,26.4375
0.453,26.4375
0.476,25.9375
0.479,25.9375
0.489,25.9375
0.499,25.9375
0.501,25.9375
0.505,25.9375
0.510,25.9375
0.537,25.9375
0.538,25.9375
0.540,25.9375
0.542,25.9375
0.552,25.9375
0.569,25.9375
0.589,26.3750
0.600,26.3750
0.608,26.3750
0.611,26.3750
0.620,26.3750
0.632,26.3750
0.640,26.3750
0.646,26.3750
0.648,26.3750
0.653,26.3750
0.659,26.3750
0.661,26.3750
0.678,26.3750
0.702,26.3750
0.713,25.5625
0.713,25.5625
0.718,25.5625
0.720,25.5625
0.727,25.5625
0.728,25.5625
0.735,25.5625
0.744,25.5625
0.748,25.5625
0.751,25.5625
0.765,25.5625
0.772,25.5625
0.773,25.5625
0.776,25.5625
0.776,25.5625
0.782,25.5625
0.783,25.5625
0.784,25.5625
0.793,25.5625
0.793,25.5625
0.797,25.5625
0.799,25.5625
0.801,25.5625
0.816,25.5625
0.818,25.5625
0.828,25.5625
0.831,26.1875
0.837,26.1875
0.841,26.1875
0.846,26.1875
0.866,26.1875
0.882,26.1875
0.888,26.1875
0.904,26.1875
0.923,26.1875
0.928,26.1875
0.933,26.1875
0.941,26.1875
0.941,26.1875
0.946,26.1875
0.952,25.5000
0.952,25.5000
0.973,25.5000
0.978,25.5000
0.980,25.5000
0.984,25.5000
0.986,25.5000
0.997,25.5000
0.999,25.5000
1.013,25.5000
1.037,25.5000
1.046,25.5000
1.049,25.5000
1.053,25.5000
1.062,25.5000
1.065,25.5000
1.072,26.2500
1.076,26.2500
1.079,26.2500
1.085,26.2500
1.087,26.2500
1.089,26.2500
1.093,26.2500
1.095,26.2500
1.099,26.2500
1.109,26.2500
1.118,26.2500
1.126,26.2500
1.127,26.2500
1.141,26.2500
1.162,26.2500
1.183,26.2500
1.193,26.0625
1.194,26.0625
1.196,26.0625
1.201,26.0625
1.209,26.0625
1.220,26.0625
1.223,26.0625
1.226,26.0625
1.235,26.0625
1.241,26.0625
1.243,26.0625
1.248,26.0625
1.249,26.0625
1.252,26.0625
1.257,26.0625
1.260,26.0625
1.264,26.0625
1.268,26.0625
1.274,26.0625
1.288,26.0625
1.292,26.0625
1.297,26.0625
1.306,26.0625
1.319,25.7500
1.330,25.7500
1.334,25.7500
1.338,25.7500
1.346,25.7500
1.351,25.7500
1.356,25.7500
1.389,25.7500
1.411,25.7500
1.413,25.7500
1.422,25.7500
1.426,25.7500
1.434,25.7500
1.439,26.3125
1.443,26.3125
1.445,26.3125
1.452,26.3125
1.476,26.3125
1.482,26.3125
1.498,26.3125
1.499,26.3125
1.504,26.3125
1.510,26.3125
1.523,26.3125
1.534,26.3125
1.547,26.3125
1.550,26.3125
1.555,26.3125
1.563,26.0625
1.571,26.0625
1.576,26.0625
1.578,26.0625
1.579,26.0625
1.590,26.0625
1.606,26.0625
1.623,26.0625
1.630,26.0625
1.642,26.0625
1.645,26.0625
1.645,26.0625
1.663,26.0625
1.667,26.0625
1.669,26.0625
1.671,26.0625
1.681,25.6250
1.684,25.6250
1.714,25.6250
1.720,25.6250
1.730,25.6250
1.744,25.6250
1.746,25.6250
1.750,25.6250
1.753,25.6250
1.756,25.6250
1.758,25.6250
1.775,25.6250
1.784,25.6250
1.789,25.6250
1.795,25.6250
1.799,25.6250
1.812,26.2500
1.818,26.2500
1.821,26.2500
1.827,26.2500
1.829,26.2500
1.838,26.2500
1.845,26.2500
1.847,26.2500
1.852,26.2500
1.860,26.2500
1.916,26.2500
1.917,26.2500
1.929,25.6250
1.938,25.6250
1.939,25.6250
1.974,25.6250
1.977,25.6250
1.999,25.6250
2.001,25.6250
2.004,25.6250
2.006,25.6250
2.011,25.6250
2.020,25.6250
2.030,25.6250
2.037,25.6250
2.045,26.1875
2.051,26.1875
2.054,26.1875
2.062,26.1875
2.094,26.1875
2.097,26.1875
2.112,26.1875
2.123,26.1875
2.128,26.1875
2.130,26.1875
2.134,26.1875
2.147,26.1875
2.149,26.1875
2.151,26.1875
2.155,26.1875
2.158,26.1875
2.159,26.1875
2.160,26.1875
2.162,26.1875
2.164,26.1875
2.164,26.1250
2.165,26.1250
2.184,26.1250
2.216,26.1250
2.219,26.1250
2.230,26.1250
2.231,26.1250
2.233,26.1250
2.247,26.1250
2.249,26.1250
2.273,26.1250
2.295,26.3750
2.296,26.3750
2.301,26.3750
2.311,26.3750
2.312,26.3750
2.322,26.3750
2.329,26.3750
2.332,26.3750
2.335,26.3750
2.348,26.3750
2.356,26.3750
2.361,26.3750
2.365,26.3750
2.366,26.3750
2.373,26.3750
2.375,26.3750
2.377,26.3750
2.392,26.3750
2.402,26.3750
2.413,26.1250
2.415,26.1250
2.416,26.1250
2.418,26.1250
2.419,26.1250
2.427,26.1250
2.434,26.1250
2.437,26.1250
2.443,26.1250
2.465,26.1250
2.489,26.1250
2.490,26.1250
2.493,26.1250
2.515,26.1250
2.518,26.1250
2.526,26.1250
2.533,25.6875
2.539,25.6875
2.551,25.6875
2.552,25.6875
2.558,25.6875
2.568,25.6875
2.573,25.6875
2.575,25.6875
2.597,25.6875
2.603,25.6875
2.604,25.6875
2.618,25.6875
2.624,25.6875
2.626,25.6875
2.632,25.6875
2.642,25.6875
2.648,25.6875
2.654,26.2500
2.656,26.2500
2.656,26.2500
2.657,26.2500
2.658,26.2500
2.689,26.2500
2.691,26.2500
2.692,26.2500
2.692,26.2500
2.706,26.2500
2.707,26.2500
2.713,26.2500
2.717,26.2500
2.719,26.2500
2.722,26.2500
2.724,26.2500
2.728,26.2500
2.735,26.2500
2.740,26.2500
2.777,26.2500
2.780,26.2500
2.788,26.2500
2.799,26.2500
2.808,26.2500
2.810,26.2500
2.826,26.2500
2.830,26.2500
2.837,26.2500
2.845,26.2500
2.846,26.2500
2.854,26.2500
2.866,26.2500
2.868,26.2500
2.880,26.2500
2.891,26.2500
2.902,26.4375
2.910,26.4375
2.921,26.4375
2.926,26.4375
2.927,26.4375
2.929,26.4375
2.931,26.4375
2.932,26.4375
2.941,26.4375
2.956,26.4375
2.964,26.4375
2.969,26.4375
2.972,26.4375
2.973,26.4375
2.989,26.4375
2.990,26.4375
2.993,26.4375
2.995,26.4375
2.996,26.4375
3.013,26.4375
3.017,26.1875
3.037,26.1875
3.039,26.1875
3.047,26.1875
3.049,26.1875
3.055,26.1875
3.061,26.1875
3.076,26.1875
3.078,26.1875
3.083,26.1875
3.088,26.1875
3.091,26.1875
3.100,26.1875
3.121,26.1875
3.124,26.1875
3.129,26.1875
3.155,25.5625
3.164,25.5625
3.167,25.5625
3.181,25.5625
3.182,25.5625
3.185,25.5625
3.187,25.5625
3.200,25.5625
3.209,25.5625
3.215,25.5625
3.225,25.5625
3.227,25.5625
3.227,25.5625
3.253,25.5625
3.255,25.5625
3.264,26.1875
3.267,26.1875
3.284,26.1875
3.286,26.1875
3.317,26.1875
3.321,26.1875
3.326,26.1875
3.331,26.1875
3.338,26.1875
3.352,26.1875
3.354,26.1875
3.356,26.1875
3.375,26.1875
3.375,26.1875
3.378,26.1875
3.381,25.9375
3.385,25.9375
3.400,25.9375
3.407,25.9375
3.413,25.9375
3.434,25.9375
3.445,25.9375
3.451,25.9375
3.467,25.9375
3.469,25.9375
3.477,25.9375
3.478,25.9375
3.488,25.9375
3.498,25.9375
3.501,25.9375
3.505,26.4375
3.514,26.4375
3.523,26.4375
3.530,26.4375
3.535,26.4375
3.536,26.4375
3.538,26.4375
3.539,26.4375
3.543,26.4375
3.544,26.4375
3.550,26.4375
3.555,26.4375
3.559,26.4375
3.569,26.4375
3.587,26.4375
3.591,26.4375
3.618,26.4375
3.619,26.4375
3.627,25.6250
3.631,25.6250
3.643,25.6250
3.646,25.6250
3.651,25.6250
3.654,25.6250
3.656,25.6250
3.661,25.6250
3.664,25.6250
3.667,25.6250
3.680,25.6250
3.688,25.6250
3.692,25.6250
3.696,25.6250
3.699,25.6250
3.701,25.6250
3.722,25.6250
3.729,25.6250
3.731,25.6250
3.734,25.6250
3.735,25.6250
3.736,25.6250
3.747,25.5625
3.749,25.5625
3.770,25.5625
3.788,25.5625
3.790,25.5625
3.790,25.5625
3.796,25.5625
3.804,25.5625
3.811,25.5625
3.819,25.5625
3.826,25.5625
3.828,25.5625
3.836,25.5625
3.838,25.5625
3.846,25.5625
3.856,25.5625
3.863,25.5625
3.864,25.5625
3.880,26.2500
3.891,26.2500
3.897,26.2500
3.904,26.2500
3.908,26.2500
3.911,26.2500
3.913,26.2500
3.918,26.2500
3.924,26.2500
3.929,26.2500
3.938,26.2500
3.952,26.2500
3.958,26.2500
3.966,26.2500
3.972,26.2500
3.974,26.2500
3.980,26.2500
3.982,26.2500
3.982,26.2500
3.983,26.2500
3.991,25.7500
3.992,25.7500
3.993,25.7500
3.994,25.7500
4.010,25.7500
4.021,25.7500
4.022,25.7500
4.039,25.7500
4.045,25.7500
4.048,25.7500
4.049,25.7500
4.051,25.7500
4.060,25.7500
4.069,25.7500
4.076,25.7500
4.092,25.7500
4.113,26.3125
4.116,26.3125
4.135,26.3125
4.138,26.3125
4.145,26.3125
