time (seconds),temperature (Celsius)
0.001,24.3125
0.009,24.3125
0.013,24.3125
0.016,24.3125
0.023,24.3125
0.030,24.3125
0.031,24.3125
0.048,24.3125
0.067,24.3125
0.069,24.3125
0.070,24.3125
0.075,24.3125
0.076,24.3125
0.084,24.3125
0.085,24.3125
0.099,24.3125
0.102,24.3125
0.104,24.3125
0.108,24.3125
0.109,24.3125
0.110,24.3125
0.112,24.3125
0.114,24.3125
0.125,24.3125
0.133,24.3125
0.140,24.3125
0.143,24.3125
0.152,24.3125
0.176,24.3125
0.182,24.3125
0.191,24.3125
0.195,24.3125
0.206,24.3125
0.208,24.3125
0.217,24.3125
0.220,24.3125
0.231,24.3125
0.237,24.3125
0.238,24.3125
0.242,24.3125
0.249,24.3125
0.265,24.3125
0.279,24.3125
0.286,24.3125
0.290,24.3125
0.317,24.3125
0.328,24.3125
0.332,24.3125
0.334,24.3125
0.338,24.3125
0.343,24.3125
0.349,24.3125
0.357,24.3125
0.360,24.3125
0.364,24.3125
0.371,24.3125
0.377,24.3125
0.380,24.3125
0.381,24.3125
0.384,24.3125
0.387,24.3125
0.402,24.3125
0.403,24.3125
0.405,24.3125
0.415,24.3125
0.418,24.3125
0.424,24.3125
0.425,24.3125
0.437,24.3125
0.444,24.3125
0.449,24.3125
0.455,24.3125
0.463,24.3125
0.465,24.3125
0.470,24.3125
0.471,24.3125
0.472,24.3125
0.483,24.3125
0.486,24.3125
0.491,24.3125
0.493,24.3125
0.494,24.3125
0.497,24.3125
0.507,24.3125
0.522,24.3125
0.530,24.3125
0.534,24.3125
0.537,24.3125
0.548,24.3125
0.553,24.3125
0.553,24.3125
0.576,24.3125
0.579,24.3125
0.586,24.3125
0.590,24.3125
0.596,24.3125
0.621,24.3125
0.627,24.3125
0.628,24.3125
0.630,24.3125
0.632,24.3125
0.633,24.3125
0.634,24.3125
0.639,24.3125
0.640,24.3125
0.642,24.3125
0.646,24.3125
0.647,24.3125
0.651,24.3125
0.671,24.3125
0.698,24.3125
0.701,24.3125
0.712,24.3125
0.717,24.3125
0.743,24.3125
0.747,24.3125
0.751,24.3125
0.754,24.3125
0.755,24.3125
0.757,24.3125
0.758,24.3125
0.766,24.3125
0.767,24.3125
0.769,24.3125
0.770,24.3125
0.774,24.3125
0.783,24.3125
0.792,24.3125
0.793,24.3125
0.797,24.3125
0.810,24.3125
0.813,24.3125
0.830,24.3125
0.835,24.3125
0.837,24.3125
0.841,24.3125
0.872,24.3125
0.873,24.3125
0.873,24.3125
0.876,24.3125
0.881,24.3125
0.882,24.3125
0.884,24.3125
0.887,24.3125
0.889,24.3125
0.889,24.3125
0.895,24.3125
0.896,24.3125
0.903,24.3125
0.913,24.3125
0.919,24.3125
0.922,24.3125
0.926,24.3125
0.935,24.3125
0.935,24.3125
0.940,24.3125
0.952,24.3125
0.952,24.3125
0.952,24.3125
0.966,24.3125
0.986,24.3125
0.988,24.3125
0.994,24.3125
0.994,24.3125
1.002,24.3125
1.005,24.3125
1.008,24.3125
1.009,24.3125
1.022,24.3125
1.035,24.3125
1.039,24.3125
1.041,24.3125
1.044,24.3125
1.056,24.3125
1.064,24.3125
1.066,24.3125
1.077,24.3125
1.078,24.3125
1.089,24.3125
1.090,24.3125
1.106,24.3125
1.118,24.3125
1.121,24.3125
1.122,24.3125
1.135,24.3125
1.135,24.3125
1.157,24.3125
1.168,24.3125
1.169,24.3125
1.178,24.3125
1.186,24.3125
1.201,24.3125
1.202,24.3125
1.203,24.3125
1.205,24.3125
1.207,24.3125
1.211,24.3125
1.223,24.3125
1.228,24.3125
1.229,24.3125
1.248,24.3125
1.249,24.3125
1.251,24.3125
1.262,24.3125
1.264,24.3125
1.268,24.3125
1.270,24.3125
1.285,24.3125
1.286,24.3125
1.286,24.3125
1.294,24.3125
1.306,24.3125
1.312,24.3125
1.317,24.3125
1.320,24.3125
1.322,24.3125
1.326,24.3125
1.327,24.3125
1.331,24.3125
1.333,24.3125
1.335,24.3125
1.370,24.3125
1.373,24.3125
1.378,24.3125
1.389,24.3125
1.393,24.3125
1.396,24.3125
1.429,24.3125
1.453,24.3125
1.462,24.3125
1.463,24.3125
1.467,24.3125
1.470,24.3125
1.477,24.3125
1.478,24.3125
1.483,24.3125
1.491,24.3125
1.495,24.3125
1.495,24.3125
1.508,24.3125
1.517,24.3125
1.540,24.3125
1.550,24.3125
1.558,24.3125
1.567,24.3125
1.571,24.3125
1.583,24.3125
1.584,24.3125
1.587,24.3125
1.593,24.3125
1.600,24.3125
1.601,24.3125
1.623,24.3125
1.640,24.3125
1.677,24.3125
1.680,24.3125
1.683,24.3125
1.691,24.3125
1.695,24.3125
1.704,24.3125
1.718,24.3125
1.731,24.3125
1.738,24.3125
1.741,24.3125
1.756,24.3125
1.764,24.3125
1.766,24.3125
1.772,24.3125
1.778,24.3125
1.779,24.3125
1.802,24.3125
1.806,24.3125
1.817,24.3125
1.827,24.3125
1.831,24.3125
1.832,24.3125
1.839,24.3125
1.847,24.3125
1.867,24.3125
1.870,24.3125
1.871,24.3125
1.876,24.3125
1.887,24.3125
1.915,24.3125
1.922,24.3125
1.923,24.3125
1.928,24.3125
1.933,24.3125
1.934,24.3125
1.940,24.3125
1.946,24.3125
1.947,24.3125
1.961,24.3125
1.963,24.3125
1.980,24.3125
1.994,24.3125
2.009,24.3125
2.014,24.3125
2.018,24.3125
2.031,24.2500
2.035,24.2500
2.038,24.2500
2.042,24.2500
2.048,24.2500
2.053,24.2500
2.056,24.2500
2.061,24.2500
2.082,24.2500
2.089,24.2500
2.096,24.2500
2.100,24.2500
2.102,24.2500
2.104,24.2500
2.106,24.2500
2.124,24.2500
2.128,24.2500
2.132,24.2500
2.136,24.2500
2.146,24.3125
2.154,24.3125
2.167,24.3125
2.168,24.3125
2.170,24.3125
2.175,24.3125
2.176,24.3125
2.187,24.3125
2.191,24.3125
2.193,24.3125
2.201,24.3125
2.205,24.3125
2.212,24.3125
2.217,24.3125
2.244,24.3125
2.253,24.3125
2.260,24.3125
2.270,24.3125
2.279,24.3125
2.281,24.3125
2.287,24.3125
2.288,24.3125
2.299,24.3125
2.307,24.3125
2.318,24.3125
2.322,24.3125
2.323,24.3125
2.324,24.3125
2.340,24.3125
2.343,24.3125
2.350,24.3125
2.355,24.3125
2.356,24.3125
2.362,24.3125
2.370,24.3125
2.374,24.3125
2.383,24.3125
2.396,24.3125
2.409,24.3125
2.413,24.3125
2.419,24.3125
2.420,24.3125
2.421,24.3125
2.423,24.3125
2.428,24.3125
2.435,24.3125
2.454,24.3125
2.464,24.3125
2.466,24.3125
2.469,24.3125
2.477,24.3125
2.477,24.3125
2.479,24.3125
2.491,24.3125
2.497,24.3125
2.501,24.3125
2.503,24.3125
2.511,24.3125
2.518,24.3125
2.555,24.3125
2.567,24.3125
2.572,24.3125
2.574,24.3125
2.575,24.3125
2.578,24.3125
2.585,24.3125
2.619,24.3125
2.641,24.3125
2.649,24.3125
2.651,24.3125
2.660,24.3125
2.665,24.3125
2.671,24.3125
2.685,24.3125
2.689,24.3125
2.711,24.3125
2.716,24.3125
2.721,24.3125
2.748,24.3125
2.755,24.3125
2.756,24.3125
2.768,24.3125
2.768,24.3125
2.773,24.3125
2.775,24.3125
2.778,24.3125
2.783,24.3125
2.784,24.3125
2.788,24.3125
2.809,24.3125
2.814,24.3125
2.821,24.3125
2.827,24.3125
2.828,24.3125
2.831,24.3125
2.832,24.3125
2.842,24.3125
2.860,24.3125
2.860,24.3125
2.862,24.3125
2.864,24.3125
2.865,24.3125
2.874,24.3125
2.884,24.3125
2.885,24.3125
2.893,24.3125
2.903,24.3125
2.909,24.3125
2.937,24.3125
2.938,24.3125
2.944,24.3125
2.950,24.3125
2.956,24.3125
2.959,24.3125
2.963,24.3125
2.963,24.3125
2.969,24.3125
2.972,24.3125
2.981,24.3125
2.987,24.3125
2.990,24.3125
3.010,24.3125
3.014,24.3125
3.041,24.3125
3.043,24.3125
3.050,24.3125
3.068,24.3125
3.074,24.3125
3.081,24.3125
3.081,24.3125
3.084,24.3125
3.084,24.3125
3.091,24.3125
3.101,24.3125
3.106,24.3125
3.113,24.3125
3.120,24.3125
3.126,24.2500
3.133,24.2500
3.164,24.2500
3.170,24.2500
3.175,24.2500
3.176,24.2500
3.193,24.2500
3.205,24.2500
3.224,24.2500
3.225,24.2500
3.233,24.2500
3.244,24.2500
3.262,24.3125
3.268,24.3125
3.274,24.3125
3.280,24.3125
3.297,24.3125
3.297,24.3125
3.336,24.3125
3.337,24.3125
3.339,24.3125
3.356,24.3125
3.366,24.3125
3.369,24.3125
3.392,24.3125
3.401,24.3125
3.415,24.3125
3.420,24.3125
3.421,24.3125
3.423,24.3125
3.427,24.3125
3.429,24.3125
3.432,24.3125
3.433,24.3125
3.443,24.3125
3.444,24.3125
3.447,24.3125
3.452,24.3125
3.453,24.3125
3.454,24.3125
3.455,24.3125
3.473,24.3125
3.488,24.3125
3.490,24.3125
3.491,24.3125
3.492,24.3125
3.498,24.3125
3.513,24.3125
3.514,24.3125
3.521,24.3125
3.526,24.3125
3.551,24.3125
3.552,24.3125
3.561,24.3125
3.561,24.3125
3.563,24.3125
3.579,24.3125
3.595,24.3125
3.599,24.3125
3.608,24.3125
3.608,24.3125
3.615,24.3125
3.617,24.3125
3.623,24.3125
3.627,24.3125
3.636,24.3125
3.643,24.3125
3.643,24.3125
3.646,24.3125
3.649,24.3125
3.655,24.3125
3.671,24.3125
3.678,24.3125
3.689,24.3125
3.690,24.3125
3.691,24.3125
3.710,24.3125
3.712,24.3125
3.714,24.3125
3.715,24.3125
3.720,24.3125
3.726,24.3125
3.738,24.3125
3.740,24.3125
3.755,24.3125
3.765,24.3125
3.775,24.3125
3.780,24.3125
3.788,24.3125
3.791,24.3125
3.793,24.3125
3.799,24.3125
3.800,24.3125
3.802,24.3125
3.804,24.3125
3.826,24.3125
3.833,24.3125
3.834,24.3125
3.838,24.3125
3.853,24.3125
3.853,24.3125
3.854,24.3125
3.855,24.3125
3.858,24.3125
3.862,24.3125
3.874,24.3125
3.883,24.3125
3.885,24.3125
3.892,24.3125
3.903,24.3125
